session_id,model,input_tokens,output_tokens,total_tokens
15dd991afc52460fbb67415bd4351b26,unknown,0,0,0
15e9f42e148d480c8b0067f00e179538,ark/deepseek-v3,1455,255,1710
15e9f42e148d480c8b0067f00e179538,unknown,0,0,0
15f578de4cd347abb384951f78ebd7ce,deepseek-chat,687,883,1570
15f578de4cd347abb384951f78ebd7ce,unknown,0,0,0
160b001b5d6a47268675155b1ed1bc89,deepseek-chat,642,492,1134
160b001b5d6a47268675155b1ed1bc89,unknown,0,0,0
1616ea6668c44ac38ceb1cb25e9c8c1c,unknown,0,0,0
161ab685d4b3458894eb4b45218cc77d,deepseek-chat,0,0,0
161ab685d4b3458894eb4b45218cc77d,unknown,0,0,0
1623d63e166d48178fee63752b64d290,unknown,0,0,0
163aae0cf45543f4ba9ab93fcefefb81,unknown,0,0,0
1663aff33b11448aa682cb82640f7a75,unknown,0,0,0
1681be0c88924beea796c6e76657ce1e,unknown,0,0,0
17022a47dd6a45f99a903ad642e83283,ark/deepseek-v3,3790,1405,5195
17022a47dd6a45f99a903ad642e83283,gpt-4.1,5083,825,5908
17022a47dd6a45f99a903ad642e83283,unknown,0,0,0
1747abe0da724f24ac1077d1ca90dccc,unknown,0,0,0
174ab787284f4f11bf7af39da9111b22,ark/deepseek-v3,1246,722,1968
174ab787284f4f11bf7af39da9111b22,unknown,0,0,0
174edf577ac54cf6a620a1c61f3eb4ed,ark/deepseek-v3,2081,1273,3354
174edf577ac54cf6a620a1c61f3eb4ed,unknown,0,0,0
17611ea0dd2744e8871f37b5f35b9be0,unknown,0,0,0
17644bc4d05c4e988b1a2c534af49379,deepseek-chat,5,15,20
17644bc4d05c4e988b1a2c534af49379,unknown,0,0,0
1776757a49b34601a32976159e33cd40,ark/kimi-k2,183,128,311
1790e4ac5d594559ad124a64a466add2,deepseek-chat,2820,540,3360
1790e4ac5d594559ad124a64a466add2,unknown,0,0,0
17a5e396d3414d5ebda8aa365f5bf17a,deepseek-chat,2677,1099,3776
17a5e396d3414d5ebda8aa365f5bf17a,unknown,0,0,0
17ff2646cba34af78c991b1c6f34073d,unknown,0,0,0
180cce5f4ab640cb87fbe81e25b4c8b1,deepseek-chat,4,11,15
180cce5f4ab640cb87fbe81e25b4c8b1,unknown,0,0,0
1827fbf13b2f498eaa2de9973d51c6cd,ark/deepseek-v3,465,92,557
1827fbf13b2f498eaa2de9973d51c6cd,unknown,0,0,0
18340f8d88bb4cd3b8e22a2309715f58,unknown,0,0,0
18387bb012004f849f0cb98b21e01d9d,deepseek-chat,17181,3385,20566
18387bb012004f849f0cb98b21e01d9d,unknown,0,0,0
18de58afc4be415e9ccacde2d874e871,unknown,0,0,0
18fce2ac3a8140078b5357e7f8fb0865,deepseek-chat,1972,232,2204
18fce2ac3a8140078b5357e7f8fb0865,unknown,0,0,0
1907ec5bade443f4863edd36f38fff58,unknown,0,0,0
194454d5163c4f839dfedff1c1dd0f67,deepseek-chat,701,200,901
194454d5163c4f839dfedff1c1dd0f67,unknown,0,0,0
1953fc06aa5447269656c5bb995f670b,ark/deepseek-v3,3339,1215,4554
1953fc06aa5447269656c5bb995f670b,unknown,0,0,0
19591642c06a47a48917b4e01b5b7bc7,ark/deepseek-v3,624,35,659
19591642c06a47a48917b4e01b5b7bc7,unknown,0,0,0
19604fdc6add4b7b8201d936c658d05c,ark/deepseek-v3,1228,576,1804
1989796071b34bc4b09f0415458459de,ark/deepseek-v3,716,2362,3078
19b29cecb29e44e0b1b560f5dfdae1e4,unknown,0,0,0
19c827be9d45446bbd0d34da8a97ad99,ark/deepseek-v3,619,1483,2102
19de3bc7be324f71a7617fd27c79ba26,ark/deepseek-v3,604,89,693
19de3bc7be324f71a7617fd27c79ba26,unknown,0,0,0
1a0eff860c404333b930a0ae91510a62,gpt-4o-2024-05-13,111,147,258
1a0eff860c404333b930a0ae91510a62,unknown,0,0,0
1a28fef487b643f787edf2624995eaa1,unknown,0,0,0
1a5b74f446fb4388a3216fdece80636f,unknown,0,0,0
1a5c950a80a949768a3ea21283f51677,ark/deepseek-v3,1429,609,2038
1a5c950a80a949768a3ea21283f51677,unknown,0,0,0
1a6cae2d1d3d446aa2e6c0071363fab7,ark/kimi-k2,26,94,120
1a6e41e487574016b6840f31dbe81e57,deepseek-chat,5,98,103
1a6e41e487574016b6840f31dbe81e57,unknown,0,0,0
1a9511554811459f8aeb35ad5c87efae,ark/deepseek-v3,465,94,559
1a9d58a494d14c9f9592d3b54a652ffe,unknown,0,0,0
1aac3fb9c2f14923b45e0ff2bb21dbaf,ark/deepseek-v3,6122,2312,8434
1ad419aca8ed41548d54932ff4fc145d,ark/deepseek-v3,465,98,563
1adb8b0ca1a840ab9338e65a77a58833,ark/deepseek-v3,1485,711,2196
1adf65b6f38049428f665f1361dd35ac,ark/deepseek-v3,92,102,194
1b230367a598427da24ad92336531c3a,deepseek-chat,3136,570,3706
1b230367a598427da24ad92336531c3a,unknown,0,0,0
1b24d9aafa31456fbc3d2049d5190813,ark/deepseek-v3,1217,78,1295
1b24d9aafa31456fbc3d2049d5190813,unknown,0,0,0
1b61f6251ffd47199fdc534595ed5fb9,deepseek-chat,14,563,577
1b61f6251ffd47199fdc534595ed5fb9,unknown,0,0,0
1ba7bf224f764e72afefd2905a5167ca,deepseek-chat,1034,284,1318
1ba7bf224f764e72afefd2905a5167ca,unknown,0,0,0
1c355dd96a5042ee9eac15bd693b3fdf,ark/deepseek-v3,629,349,978
1c37ca39a0ef4a77a4b2325f6b607be1,deepseek-chat,742,330,1072
1c37ca39a0ef4a77a4b2325f6b607be1,unknown,0,0,0
1c3b05aadd124f6da18875d31a6e2613,deepseek-chat,701,192,893
